Kód;Elnevezés;Ország;Tájegység;"Dátum (ÉÉÉÉ-HH-NN)";Napok;"Szállás (sator/turistahaz/apartman/hotel)";"Túramód (gyalogos/kerekparos/vizi/si/barlangi/munka)";Altípus;Km;"Magashegyi km";"Szintemelkedés (m)";"Magashegyi szintemelkedés (m)";"Túraidő (óra)";"Többnapos típusa (csillag/vandor)";"Eltöltött éjszakák";Hajóátemelések;"Vendég résztvevők";"Lizzardier pont";"MTSZ pont"
155;Odvas-kő;HU;Bakony;2020-11-06;2;turistahaz;gyalogos;normal;32;;1125;;;vandor;2;0;0;0;77
154;"Lajos-forrás - Vasas-szakadék";HU;"Visegrádi hegység";2020-11-01;1;;gyalogos;normal;13;;534;;;;0;0;0;0;30
143;"Esztergom-Búbánat völgy";HU;Visegrádi-hegység;2020-10-31;1;;gyalogos;normal;12;;500;;4;;0;0;0;0;28
144;"Kékes 2x TT";HU;Mátra;2020-10-31;1;;gyalogos;normal;27;;1515;;6;;0;0;0;0;71
142;"Visegrádi hegység gyöngyszemei";HU;Visegrádi-hegység;2020-10-23;1;;gyalogos;normal;21;;924;;7;;0;0;1;2;50
153;"Piliscsév, Studenka forrás";HU;Pilis;2020-10-18;1;;gyalogos;normal;9;;272;;;;0;0;0;0;19
139;"Nomád Cserhát";HU;Cserhát;2020-10-10;2;sator;gyalogos;normal;28;;699;;11;vandor;1;0;0;6;59
140;"OKT 12 + egy kicsi";HU;Pilis;2020-10-10;1;;gyalogos;normal;23;;730;;6;;0;0;0;0;49
141;"Strázsa Honvéd TT 45";HU;Alföld;2020-10-10;1;;gyalogos;normal;45;;90;;9;;0;0;0;0;72
152;"Bükk - Bükk 900-as csúcsai 1. rész";HU;Bükk;2020-10-10;2;turistahaz;gyalogos;normal;28;;1051;;;csillag;2;0;0;0;65
126;"Jane Goodall Tanösvény";HU;Budai-hegység;2020-10-02;1;;gyalogos;normal;11;;460;;4;;0;0;0;0;26
125;"Balathlon UM 1. szakasza";HU;Balaton;2020-09-25;1;;gyalogos;normal;58;;0;;13;;0;0;0;0;90
