Kód;Elnevezés;Ország;Tájegység;"Dátum (ÉÉÉÉ-HH-NN)";Napok;"Szállás (sator/turistahaz/apartman/hotel)";"Túramód (gyalogos/kerekparos/vizi/si/barlangi/munka)";Altípus;Km;"Magashegyi km";"Szintemelkedés (m)";"Magashegyi szintemelkedés (m)";"Túraidő (óra)";"Többnapos típusa (csillag/vandor)";"Eltöltött éjszakák";Hajóátemelések;"Vendég résztvevők";"Lizzardier pont";"MTSZ pont"
4;"A Kelet-Mecsek kincsei";HU;Mecsek;2018-06-23;2;turistahaz;gyalogos;normal;31;;945;;9;csillag;1;0;0;5;66
3;"Felfedező bejárás a Mátrában";HU;Mátra;2018-05-19;1;;gyalogos;normal;18;;629;;4;;0;0;0;0;40
2;"Kalandozások Ukrajnában";UA;Kárpátalja;2018-04-28;2;apartman;gyalogos;normal;21;15;1243;1171;11;csillag;2;0;0;15;150
484GY;"Strázsa hegyek";HU;Visegrádi-hegység;2018-04-22;1;;gyalogos;normal;20.9;;503;;;;0;0;0;2;41
483GY;"Balatoni túra mandulavirágzáskor";HU;Balatonfelvidék;2018-04-13;2;apartman;gyalogos;normal;18;;428;;;csillag;1;0;7;10;37
1;"Vitányvár kör";HU;Vértes;2018-04-01;1;;gyalogos;normal;15;;389;;5;;0;0;3;2;30
482GY;"Spartacus és Apátkuti völgy";HU;Pilis;2018-03-04;1;;gyalogos;normal;16;;422;;;;0;0;5;1;32
481GY;"Téli Bakony";HU;Bakony;2018-01-13;2;sator;gyalogos;normal;24;;744;;;csillag;1;0;2;6;58
480GY;"Adventi Pilis";HU;Pilis;2017-12-17;1;;gyalogos;normal;12.1;;368;;;;0;0;3;1;29
479GY;"Gesause #1";AT;"Ennstaler Alpen";2017-10-20;3;apartman;gyalogos;normal;26.9;6;1912;700;;csillag;2;0;0;15;127
478GY;"LandArt túra a Kevélyeknél";HU;Pilis;2017-10-14;1;;gyalogos;normal;;;;;;;0;0;3;2;0
477GY;"Dunakanyar földön vízen";HU;Visegrádi-hegység;2017-10-10;1;;gyalogos;normal;14;;582;;;;0;0;3;2;33
476GY;"Szlovák Paradicsom - Kysel szurdok";SK;Szlovák-Paradicsom;2017-09-02;2;apartman;gyalogos;normal;27.1;;1177;;;csillag;1;0;0;11;65
475GY;"A Holdvilág-ároktól a Gomba szikláig";HU;Pilis;2017-08-19;1;;gyalogos;normal;17;;599;;;;0;0;11;1;37
474K;"Velencei tó kör bicajjal";HU;Velencei-hegység;2017-07-22;1;;kerekparos;mout;30;;89;;;;0;0;1;2;16
473GY;"Nomád Túra a Bakonyban";HU;Bakony;2017-06-24;2;sator;gyalogos;normal;26.4;;630;;;vandor;1;0;2;7;55
472GY;Dunabogdány;HU;Pilis;2017-05-27;1;;gyalogos;normal;18;;499;;;;0;0;9;1;37
471GY;"Beusnita - Erdély";RO;Kárpátok;2017-04-28;4;hotel;gyalogos;normal;39;;1255;;;csillag;3;0;2;10;87
470GY;"Húsvétolás a Pilisben";HU;Pilis;2017-04-17;1;;gyalogos;normal;18;;742;;;;0;0;1;2;42
469GY;Gerecse50;HU;Gerecse;2017-03-26;1;;gyalogos;normal;48.7;;1442;;;;0;0;10;4;102
468GY;"Budaörsi csatangolás";HU;Budai-hegység;2017-02-18;1;;gyalogos;normal;17;;399;;;;0;0;4;1;36
467GY;Hollókő;HU;Cserhát;2017-01-22;1;;gyalogos;normal;;;;;;;0;0;5;2;3
466GY;"Havas hétvége Galyatetőn";HU;Mátra;2017-01-14;2;turistahaz;gyalogos;normal;21;;895;;;;0;0;3;5;55
465GY;Pilismarót;HU;Pilis;2017-01-07;1;;gyalogos;normal;17;;485;;;;0;0;8;2;38
464GY;Mátrakeresztes;HU;Mátra;2016-11-05;1;;gyalogos;normal;15;;395;;;;0;0;9;1;30
463GY;"Piliscsaba - barlangok";HU;Pilis;2016-10-29;1;;gyalogos;normal;22;;681;;;;0;0;11;2;47
462GY;"Pilisi kilátások 1.";HU;Pilis;2016-10-15;1;;gyalogos;normal;19;;570;;9;;0;0;10;2;40
461GY;"Szlovák Paradicsom felfedezése";SK;Szlovák-Paradicsom;2016-09-23;2;sator;gyalogos;normal;26;;992;;12;csillag;2;0;4;10;61
460GY;"Nomád Bükk";HU;Bükk;2016-07-23;2;sator;gyalogos;normal;26;;894;;12;vandor;1;0;5;5;60
459GY;"Bolzano-i Alpok felfedezése";IT;Dolomitok;2016-05-06;2;apartman;gyalogos;normal;15;7;418;860;12;csillag;2;0;3;15;88
458GY;"Mátrabérc kelet";HU;Mátra;2016-03-19;1;;gyalogos;normal;28;;1283;;10;;0;0;11;3;68
457GY;"Spartacus ösvény télen";HU;Pilis;2016-02-06;1;;gyalogos;normal;15;;356;;8;;0;0;11;2;33
